	S2N	p-val	FDR
NDUFA11	0.4534234404563904	0.029603412152050285	0.21579272727272725
MYH3	0.4533460736274719	0.029624862815524296	0.21587059251181387
LOC91149	0.45298290252685547	0.029722637932754665	0.21650436046511626
BANP	0.4527156949043274	0.02978599221789883	0.21688703232836903
SFT2D3	0.4526086449623108	0.02981841763942931	0.21697277676950996
LOC253012	0.45260074734687805	0.029819415344707174	0.21697277676950996
DDX48	0.45249006152153015	0.02984984535568193	0.2171153846153846
SLC16A14	0.45238009095191956	0.0298787788087399	0.21719724437998547
LOC130355	0.4523664116859436	0.02988276962985134	0.21719724437998547
DKFZP762P2111	0.45213964581489563	0.029939638830689414	0.21750090546903295
ZNF595	0.4520733654499054	0.02995659982041305	0.21750090546903295
LOC284561	0.4520694613456726	0.02995709867305198	0.21750090546903295
ZC3HAV1L	0.45190709829330444	0.02998952409458246	0.21765749456915276
ZMAT2	0.45176026225090027	0.03002145066347401	0.21781035106768004
MYT1L	0.451630175113678	0.030056869200838072	0.21798842257597684
CLPP	0.45146191120147705	0.030103761348897536	0.21824954792043397
CCT6B	0.45140784978866577	0.0301212211912601	0.21829718004338394
AP3S2	0.4511788487434387	0.030179586950014967	0.21863439306358382
FLJ30428	0.45113405585289	0.030189564002793576	0.21863439306358382
BAMBI	0.45107555389404297	0.030203033024044697	0.21863898916967509
C20ORF70	0.4510485529899597	0.030212012371545447	0.21863898916967509
LPIN2	0.45012134313583374	0.030439489174897735	0.2202057019126669
NOP17	0.4500066041946411	0.03046642721739998	0.22032095203750449
DIRAS1	0.4499627649784088	0.03047740197545645	0.22032095203750449
EPPB9	0.4498499929904938	0.03050982739698693	0.22047584715212687
HTR7	0.4497780501842499	0.030530280355183077	0.2205441441441441
LOC645389	0.44969427585601807	0.030546742492267784	0.2205835734870317
HUMBINDC	0.4493507146835327	0.03063803252519206	0.22116312567518906
GPR150	0.44925111532211304	0.030669460241444676	0.22126978417266185
ABCA13	0.44922107458114624	0.030674947620472914	0.22126978417266185
AJAP1	0.449191689491272	0.030685922378529382	0.22126978417266185
GJC1	0.4489963948726654	0.030736805347700288	0.22155699388709096
C15ORF2	0.4487079977989197	0.030801157338122317	0.22191451149425287
RPL18	0.44867777824401855	0.03081163324353986	0.22191451149425287
ALDH2	0.44864675402641296	0.030819614885762747	0.22191451149425287
FAM121B	0.4485892057418823	0.030836575875486383	0.2219569120287253
PPIG	0.4482581615447998	0.030919884266187768	0.2224291352709006
C14ORF103	0.44823721051216125	0.030924373939938143	0.2224291352709006
C14ORF34	0.44812631607055664	0.030948318866606803	0.2225215208034433
PTPN6	0.44752365350723267	0.031100468921480596	0.2235125448028674
EEF1G	0.4474848806858063	0.031108450563703482	0.2235125448028674
GRAP2	0.4471997618675232	0.03117978649107054	0.22394482264421356
IFNA5	0.44712504744529724	0.031195749775516313	0.2239792263610315
LOC63929	0.4468528926372528	0.031264092587049784	0.22433428775948458
D21S2090E	0.4468348026275635	0.031267584555522296	0.22433428775948458
MRFAP1L1	0.4467746317386627	0.03128255013469021	0.22436135957066186
DKFZP451M2119	0.4465509355068207	0.03134341015663973	0.22471745350500716
C17ORF60	0.4461921751499176	0.03143519904220293	0.22529495888451911
OSGEP	0.44607046246528625	0.03146213708470518	0.22540743388134382
CREM	0.4459564685821533	0.031491569390402076	0.22553769203286889
CD163L1	0.4459070563316345	0.03150703382220892	0.22556785714285715
C18ORF20	0.4457545280456543	0.03154943629651801	0.22579078900392718
LOC116437	0.44564715027809143	0.03157687319165919	0.22583303603282198
IGHD	0.44564566016197205	0.031577870896937046	0.22583303603282198
CCDC12	0.4454704225063324	0.031623266487079714	0.22607703281027103
C17ORF39	0.4454372227191925	0.03163523895041405	0.22608199643493762
FZD3	0.4449203312397003	0.03178040506834281	0.22703848895224515
LOC641518	0.44469472765922546	0.031836276563903025	0.227356608478803
PYCRL	0.4444924294948578	0.03188366756460142	0.22753736654804269
TRMU	0.44448593258857727	0.03188516412251821	0.22753736654804269
BARX2	0.44444936513900757	0.03189564002793575	0.22753736654804269
SAP18	0.4442320764064789	0.031955003491968476	0.2278797580932053
C7ORF44	0.44409430027008057	0.03199191858724933	0.2280618776671408
C11ORF16	0.4440011978149414	0.032016362366556916	0.22815499466761463
LOC494150	0.4436458647251129	0.03210765239948119	0.22872423596304192
ACAD10	0.44356781244277954	0.032127107652399484	0.22875
CYP2C8	0.4435361325740814	0.03213409158934451	0.22875
MMP20	0.4433097839355469	0.032204429811433705	0.2291341376863023
VRK1	0.4432834982872009	0.032210914895739795	0.2291341376863023
LOC644541	0.4431806802749634	0.032242342611992415	0.22923758865248228
LOC91948	0.4431639611721039	0.032248328843659586	0.22923758865248228
LONRF3	0.4430508315563202	0.03227925770727327	0.22933734939759037
PHKA1	0.4430384933948517	0.03228524393894044	0.22933734939759037
UBE2N	0.44291526079177856	0.03232814526588846	0.229560750974141
ARFGAP1	0.4426850378513336	0.03238850643519904	0.22985502121640733
SCG5	0.44260022044181824	0.03241793874089594	0.22985502121640733
EFNA1	0.44255831837654114	0.0324254215304799	0.22985502121640733
BEX1	0.44255751371383667	0.0324254215304799	0.22985502121640733
C6ORF52	0.44254451990127563	0.032426918088396685	0.22985502121640733
LOC284023	0.44250914454460144	0.03243889055173102	0.229858607281725
LOC150084	0.4424566328525543	0.03245136186770428	0.22986572438162545
LOC339529	0.44233110547065735	0.03248378728923476	0.2300141292829389
TM2D3	0.44228070974349976	0.032498752868402675	0.23003884180790962
TTC1	0.44221487641334534	0.03251920582659882	0.23010236498411576
UBE2E1	0.4421722888946533	0.03253167714257208	0.23010938602681721
CMYA3	0.44206851720809937	0.03256011174299112	0.23022927689594358
LOC374890	0.44197016954421997	0.03258655093285443	0.23033497884344145
THOC4	0.44133493304252625	0.03275566197745186	0.23143763213530655
EXOSC9	0.4412998557090759	0.03276563903023047	0.23143763213530655
CTAGE5	0.4411989152431488	0.03279806445176095	0.23158506516379007
NUDT14	0.44098231196403503	0.0328594233263494	0.23193661971830987
SYN3	0.440919429063797	0.03287389005287838	0.23195705737416403
BDNF	0.4405897259712219	0.0329512122119126	0.23235666549419626
LOC116349	0.44058123230934143	0.03295370647510725	0.23235666549419626
RHOBTB3	0.43987250328063965	0.03316073032026339	0.2337174982431483
TFDP1	0.4398424029350281	0.033170208520403074	0.2337174982431483
GMPS	0.43980181217193604	0.033181682131098476	0.2337174982431483
DNAJC8	0.4396212697029114	0.03323106854235259	0.23398314014752372
PHF5A	0.4394967555999756	0.033269979048189166	0.2341283760084181
LOC150763	0.43942156434059143	0.03329242741694104	0.2341283760084181
FBXO43	0.4394192695617676	0.033293425122218896	0.2341283760084181
PPEF2	0.43939998745918274	0.0332984136486082	0.2341283760084181
MYH1	0.43935009837150574	0.03331088496458146	0.23413394109396915
ESRRA	0.43925946950912476	0.03333233562805547	0.2342025937609534
DMRT1	0.43918776512145996	0.0333507931756959	0.234250175192712
ANKRD46	0.4390939176082611	0.03337523695500349	0.23433975481611208
LOC645200	0.43898987770080566	0.03340217499750574	0.23444677871148462
CTXN1	0.4387301802635193	0.03347650404070637	0.2348862443122156
LOC643452	0.4385627806186676	0.03352090192557119	0.2351154653603919
HOXC10	0.43852004408836365	0.033532874388905516	0.23511717383700595
ZNF416	0.43839526176452637	0.03357876883168712	0.23535664335664336
RNF113A	0.438151091337204	0.03364661279058166	0.23564442892071255
ZDHHC23	0.4381413757801056	0.03364960590641525	0.23564442892071255
GABRG1	0.43813085556030273	0.03365509328544348	0.23564442892071255
ZBTB2	0.43804019689559937	0.033676045096278556	0.23570879888268156
NONO	0.4377465844154358	0.033757856929063156	0.23619895287958118
LOC541471	0.4376986622810364	0.03377132595031428	0.23621074668527564
TXNDC1	0.43746641278266907	0.03383468023545844	0.2365713289152424
C1ORF142	0.43716421723365784	0.033917988626159835	0.23703690807799446
SARM1	0.4371066093444824	0.0339354484685224	0.23703690807799446
C1ORF203	0.43705716729164124	0.03395290831088497	0.23703690807799446
HTR2C	0.43703994154930115	0.033954903721440687	0.23703690807799446
MAPKAPK3	0.4370224177837372	0.033960391100468924	0.23703690807799446
ALG12	0.436615526676178	0.03407861917589544	0.23773138482950593
C8ORF49	0.43659722805023193	0.034083607702284746	0.23773138482950593
ATP11A	0.43648040294647217	0.034115035418537366	0.23786782608695656
ANKRD40	0.4364035725593567	0.03413798263992816	0.2379450625869263
LOC653216	0.4362618327140808	0.03418337823007084	0.23807572073636682
SLC29A3	0.4362497329711914	0.03418387708270977	0.23807572073636682
C1ORF93	0.4362218379974365	0.03419235757757159	0.23807572073636682
ATP6V0E	0.43588146567344666	0.034286141873690515	0.23864583333333336
RNF8	0.4358304440975189	0.03430010974758056	0.23866018743491843
MPP3	0.435722291469574	0.03433852140077821	0.23884455239417077
MDH2	0.4356037676334381	0.03436895141175297	0.2389732917100243
LOC285370	0.4355452060699463	0.03438491469619874	0.23900138696255202
RBM28	0.4353315830230713	0.0344497655392597	0.239369150779896
SNAPC5	0.435246080160141	0.03447820013967874	0.23943886387253205
MAGEA9	0.43522828817367554	0.03448368751870697	0.23943886387253205
MBP	0.4351619780063629	0.034505637034819917	0.23950831024930752
LOC643693	0.43508806824684143	0.034530080814127506	0.239595015576324
LOC644890	0.4348180890083313	0.034602913299411356	0.24001730103806232
RANGAP1	0.4346928596496582	0.03463583757358076	0.24016257350397788
FAM104B	0.43456947803497314	0.03467474807941734	0.24030418250950575
C2ORF28	0.43455225229263306	0.03468023545844558	0.24030418250950575
RASIP1	0.4342910051345825	0.0347625461438691	0.2407912923289565
ORAOV1	0.4342472553253174	0.03477551631248129	0.2407979274611399
C10ORF13	0.43409463763237	0.03482240846054076	0.24103210217466348
ZNF7	0.43405526876449585	0.034833383218597226	0.24103210217466348
SFRS15	0.4339977502822876	0.03484635338720942	0.24103864734299515
USP27X	0.43359941244125366	0.03496009178888556	0.241741979993101
G0S2	0.43326523900032043	0.03505437493764342	0.24231034482758618
CWF19L2	0.4332428574562073	0.03506684625361668	0.2423129955187866
ABCG5	0.4331798255443573	0.03508480494861818	0.24235354927636113
TNFRSF10A	0.43304505944252014	0.035127706275566196	0.24256631071305543
JAKMIP1	0.4329671263694763	0.035148658086401274	0.2426274104683195
WDR77	0.43276169896125793	0.03520852040307293	0.2428566517703678
C12ORF60	0.43274012207984924	0.03521301007682331	0.2428566517703678
ABCB1	0.432705283164978	0.035222488276962984	0.2428566517703678
PDPR	0.43263691663742065	0.0352424423825202	0.2428566517703678
PIPOX	0.43263527750968933	0.0352424423825202	0.2428566517703678
LOC91431	0.432395875453949	0.03531477601516512	0.2432714776632302
LOC285943	0.432251513004303	0.0353472014366956	0.24341119890072138
LRRC45	0.4321936368942261	0.035363663573780305	0.24344093406593403
MGC34796	0.43211549520492554	0.035384116531976456	0.24346259437199724
LOC643985	0.43208736181259155	0.03539110046892148	0.24346259437199724
MGC23985	0.43195322155952454	0.035437493764342014	0.2436625514403292
TPI1	0.4319295287132263	0.03544447770128704	0.2436625514403292
MGC12916	0.4317736029624939	0.03548538361767934	0.24385880740233035
AMD1	0.4317140579223633	0.03549735608101367	0.24385880740233035
FLJ20254	0.4316791594028473	0.03550982739698693	0.2438609112709832
BRPF1	0.4316316545009613	0.03553028035518308	0.24391780821917808
GCSH	0.4315757155418396	0.035549236755462434	0.24396439575487844
MTNR1A	0.4314911365509033	0.03556919086101965	0.24401779603011634
BLR1	0.43137767910957336	0.035606604808939436	0.24417435897435896
ZNF643	0.43130430579185486	0.03562755661977452	0.24417435897435896
PPAN	0.43129754066467285	0.03562855432505238	0.24417435897435896
IFT74	0.4311763644218445	0.035666965978250025	0.2443540669856459
C1ORF59	0.4310028553009033	0.03571585353686521	0.2446053980184489
LOC285527	0.4308057427406311	0.03577272273770328	0.24491120218579232
ZNF124	0.4307650625705719	0.03578619175895441	0.24491976783885286
C14ORF68	0.43070194125175476	0.035809138980345205	0.24499317406143342
ADK	0.43062078952789307	0.0358335827596528	0.2450443383356071
SLC3A1	0.43060675263404846	0.03584106554923676	0.2450443383356071
TRPM1	0.4303860068321228	0.035916392297715254	0.24547562222979882
CCDC112	0.43025562167167664	0.035959293624663276	0.24568507157464212
TAS2R9	0.43021658062934875	0.03597725231966477	0.24572402044293012
FOXQ1	0.42967215180397034	0.03614785992217899	0.24660665760869563
CD8A	0.42963993549346924	0.03616033123815225	0.24660665760869563
GYG1	0.4295893907546997	0.03617779108051482	0.24660665760869563
MIR16	0.4295615553855896	0.03618677042801557	0.24660665760869563
C1ORF131	0.42955276370048523	0.03619026239648808	0.24660665760869563
DKFZP779O175	0.42950162291526794	0.03620223485982241	0.24660665760869563
LOC441503	0.4294931888580322	0.036204230270378134	0.24660665760869563
PRKX	0.4294639825820923	0.036210715354684224	0.24660665760869563
ADFP	0.4294455349445343	0.03621720043899032	0.24660665760869563
IFNB1	0.42930933833122253	0.036255612092187965	0.24678438030560268
C7ORF34	0.42912599444389343	0.03630549735608101	0.24704005431093004
CTSE	0.4290523827075958	0.03632445375636037	0.2470851713607058
RASGRF1	0.4289209246635437	0.03636336426219695	0.24726594301221166
AK3L1	0.4287657141685486	0.03640427017858924	0.24746015598507967
FLJ21062	0.4286732077598572	0.03642721739998005	0.2475160962385632
MYOM1	0.4286397099494934	0.036437194452758656	0.2475160962385632
MEOX2	0.42852315306663513	0.03646762446373341	0.24758211987809006
GTPBP1	0.4285171926021576	0.036471615284844855	0.24758211987809006
SRP72	0.42841237783432007	0.03650653496956999	0.2477352742044685
LOC170425	0.4280972182750702	0.03661129402374538	0.24829837618403247
CBWD6	0.4280861020088196	0.03661428713957897	0.24829837618403247
LRP8	0.4279897212982178	0.036645216003192656	0.2483840432724814
ATPBD1B	0.4279625117778778	0.03665170108749875	0.2483840432724814
LOC647263	0.4279120862483978	0.036666167814027734	0.24839810746873942
SSPN	0.42783087491989136	0.03669210815125212	0.24848986486486488
KCNS2	0.42774730920791626	0.03671854734111543	0.24851264755480607
DEFT1P	0.4277116656303406	0.03672553127806046	0.24851264755480607
DBNDD1	0.4276808798313141	0.036733512920283345	0.24851264755480607
HARS2	0.42759594321250916	0.036755961289035216	0.24851264755480607
GDPD1	0.42758944630622864	0.03675745784695201	0.24851264755480607
ZCCHC3	0.4274793267250061	0.036784894742093184	0.24861429534726903
CHAC2	0.42739757895469666	0.03681233163723436	0.2487158746208291
C9ORF125	0.4271259605884552	0.0369031228175197	0.2492452830188679
IFRD1	0.4269137680530548	0.036968472513219594	0.2496025597844392
HSPBP1	0.42686668038368225	0.03698343809238751	0.2496195286195286
TMEFF1	0.4266805648803711	0.03703531876683628	0.24986881937436933
ICAM2	0.4266200661659241	0.03705078319864312	0.24986881937436933
MTX3	0.42659077048301697	0.03705776713558815	0.24986881937436933
SYNPR	0.42618516087532043	0.037182480295320765	0.2506254203093477
SAS10	0.42605942487716675	0.037215903422129104	0.25076638655462186
LOC650802	0.425839364528656	0.03728723934949616	0.25116263440860215
LOC653605	0.42554304003715515	0.03738601217200439	0.2517433658045012
ISG20L2	0.4252711236476898	0.03747231367853936	0.25216778523489936
GALNT9	0.42522144317626953	0.03748328843659583	0.25216778523489936
GLRX2	0.42519646883010864	0.037486780405068344	0.25216778523489936
POU4F3	0.4251350462436676	0.037508231068542355	0.25222744045622275
GPR75	0.42505672574043274	0.03753766337423925	0.2522728796513577
DCP1A	0.4250521659851074	0.0375401576374339	0.2522728796513577
SBNO1	0.4249498248100281	0.03756909109049187	0.25238270777479893
CHRNA2	0.4247792959213257	0.037619974059662775	0.2525686537173476
KIAA0404	0.42477697134017944	0.037621969470218494	0.2525686537173476
ERGIC3	0.4245673418045044	0.03769180883966876	0.2529527954469367
TNNC1	0.42435911297798157	0.037754664272174	0.2532898259705489
LOC283658	0.42424649000167847	0.03778858625162127	0.25343258614921377
NDUFB11	0.42403194308280945	0.03784794971565399	0.2537458193979933
RANBP3	0.4239446520805359	0.03787688316871196	0.25385489802741557
NR1D2	0.42387479543685913	0.03789583956899132	0.2538970588235294
PATZ1	0.4237876534461975	0.0379217799062157	0.25392117568470274
RAD1	0.42377644777297974	0.03792477302204929	0.25392117568470274
GPR52	0.42355987429618835	0.038006086002194954	0.2543791722296395
SCAND1	0.42352455854415894	0.038018557318168215	0.2543791722296395
E2F3	0.42314213514328003	0.0381427716252619	0.25512512512512514
CACNB2	0.423012912273407	0.038185174099570986	0.25529176392130715
NFIX	0.4229889214038849	0.038193155741793876	0.25529176392130715
BTG3	0.422660231590271	0.03830539758555323	0.25595666666666667
ZNRF3	0.4224984049797058	0.03835278858625162	0.2561879373542153
THYN1	0.422397643327713	0.03838421630250424	0.256228362183755
C20ORF165	0.42237380146980286	0.03838920482889355	0.256228362183755
LOC441528	0.42235299944877625	0.03839718647111643	0.256228362183755
CBLL1	0.4223042130470276	0.038412152050284344	0.256242928452579
WDR59	0.42219167947769165	0.03844308091389803	0.2563639387890885
RPL35	0.4219570755958557	0.03851940536765439	0.2567874958430329
SLC5A9	0.42177197337150574	0.03858226080015963	0.2571210106382979
C14ORF166	0.42169269919395447	0.03861069540057867	0.2572249916915919
TSPAN3	0.4216460585594177	0.03863314376933054	0.2572890365448505
CS	0.42150193452835083	0.03867853935947321	0.2575058120225839
PRKRIR	0.421269029378891	0.038759353486979946	0.2579581673306773
POLL	0.42106127738952637	0.03882270777212411	0.25829405907733155
NMD3	0.4209950864315033	0.03885114237254315	0.25839747843397476
ANKRD21	0.4209505617618561	0.03886959992018358	0.25843449419568826
FCER1A	0.4207853078842163	0.038938441584355984	0.2588063660477454
FREM1	0.4201764464378357	0.039149955103262496	0.26012595293337754
PHB2	0.41976112127304077	0.039275167115634044	0.2608714380384361
ALS2CR10	0.41957154870033264	0.0393350294323057	0.26118251076515403
RANBP17	0.4195067584514618	0.03935847550633543	0.2612140258021833
SDSL	0.41945359110832214	0.03937892846453158	0.2612140258021833
CHST1	0.41944244503974915	0.03938341813828195	0.2612140258021833
TNFRSF10B	0.41941824555397034	0.03939189863314377	0.2612140258021833
MPP6	0.4193653166294098	0.039409358475506334	0.2612433862433863
LOC653469	0.419256329536438	0.03944826898134291	0.26141487603305785
SF3A1	0.4191368520259857	0.03949266686620772	0.2616226040978189
ZNF543	0.4188898503780365	0.03957248328843659	0.26206475057813017
BACE1	0.41883334517478943	0.039590940836077025	0.2621003963011889
PFDN4	0.41854992508888245	0.03968322857427916	0.26262462859029384
LRRC33	0.41842085123062134	0.03972014366956001	0.2627821782178218
C21ORF34	0.4183364808559418	0.03974807941734012	0.2628802375453646
GTF2E1	0.4182954430580139	0.03976154843859124	0.2628825857519789
FLJ38028	0.41820770502090454	0.03979247730220493	0.2630003297065612
REG3G	0.41806724667549133	0.03984535568193156	0.26318840579710145
DDX50	0.41803550720214844	0.039855831587349094	0.26318840579710145
MGC16385	0.4180193543434143	0.03986032126109947	0.26318840579710145
LOC644096	0.41779208183288574	0.039932156041105456	0.26357589726703984
LOC203411	0.4176623225212097	0.039975556220692404	0.26375205524498524
IGFBP4	0.4176194667816162	0.03998653097874888	0.26375205524498524
FANCB	0.4175722301006317	0.040001496557916794	0.26375205524498524
C3AR1	0.4175456166267395	0.0400114736106954	0.26375205524498524
CDADC1	0.4174964129924774	0.0400279357477801	0.2637738330046022
ZNF41	0.4174433946609497	0.04004788985333733	0.26381860006572466
HSFY1	0.41738560795783997	0.04006435199042203	0.2638403416557162
APOA2	0.4172719120979309	0.04011323954903721	0.2640755336617406
OPN5	0.41719725728034973	0.04014217300209518	0.2641792514773474
MDK	0.41695436835289	0.040222987129601914	0.26462422054479817
BXDC5	0.41686296463012695	0.040256410256410254	0.264757217847769
HS1BP3	0.4164445102214813	0.040387608500448965	0.2655329616267629
TTTY1	0.4163742661476135	0.04040856031128404	0.2655358898721731
GAGE4	0.41635531187057495	0.040414546542951214	0.2655358898721731
CBX3	0.4162140488624573	0.04045744786989923	0.26573066841415466
CCDC83	0.41612449288368225	0.040484884765040405	0.26582377988863415
KIAA1377	0.4159716069698334	0.040537763144767036	0.26590255068672336
BSCL2	0.4159601926803589	0.04054125511323955	0.26590255068672336
ATP8A2	0.41590869426727295	0.04055622069240746	0.26590255068672336
EI24	0.4159063696861267	0.04055721839768532	0.26590255068672336
CCDC52	0.41589149832725525	0.04056320462935249	0.26590255068672336
NDUFS7	0.4157547056674957	0.0406011174299112	0.2660640732265446
LOC285927	0.4157109260559082	0.040621570388107354	0.2661111111111111
DHX36	0.415214478969574	0.04080015963284446	0.2671937275400196
TRAM1	0.4150145351886749	0.04087598523396189	0.2676028739386022
TRAPPC5	0.41498681902885437	0.040891449665768735	0.2676167156382631
CBX7	0.4149497151374817	0.04090990721340916	0.2676501305483029
TNFRSF12A	0.41481995582580566	0.04094682230869001	0.26780424143556275
NCAM1	0.41458389163017273	0.04103861119425322	0.26823337679269876
PTCD3	0.41454777121543884	0.04104759054175396	0.26823337679269876
DNAJC5B	0.41452962160110474	0.04105257906814327	0.26823337679269876
LOC284751	0.4144853949546814	0.04106954005786691	0.268256761159987
WDR61	0.4144023656845093	0.041099471216202735	0.26836482084690555
SLC35B1	0.4141896367073059	0.04118228075426519	0.2687630208333333
TSPAN33	0.4141802489757538	0.04118726928065449	0.2687630208333333
CRB1	0.4141305983066559	0.04120522797565599	0.2687927107061503
ABLIM2	0.41408663988113403	0.0412216901127407	0.26881262199089134
LOC441212	0.41377922892570496	0.041315474408859625	0.26933658536585364
SNX19	0.4137362241744995	0.04133043998802754	0.26934655396618984
LOC644420	0.413666307926178	0.04135488376733513	0.2694182645433864
ZCCHC7	0.4135657548904419	0.041389304599421334	0.269554905782976
ZNF566	0.41336214542388916	0.041460640526788384	0.2699090909090909
C16ORF5	0.4133346378803253	0.04147061757956699	0.2699090909090909
LOC285423	0.4131462872028351	0.04154345006485084	0.270295358649789
ZNF690	0.41275590658187866	0.041673650603611695	0.27105451005840364
TFPT	0.4125590920448303	0.04173550833083907	0.2713687966266623
FADS1	0.41242361068725586	0.041782400478898536	0.27157059585492227
SF3B3	0.41232454776763916	0.041814825900429016	0.27157059585492227
C17ORF72	0.4123178720474243	0.041816821310984735	0.27157059585492227
LOC285513	0.4123040735721588	0.0418228075426519	0.27157059585492227
UBE4A	0.4122716784477234	0.0418342811533473	0.27157059585492227
IL5	0.4121797978878021	0.041862715753766336	0.27166720621560375
PCP4	0.41208532452583313	0.04189264691210216	0.2717734627831715
ANKS1B	0.41199713945388794	0.041917589544048686	0.2718299385709667
C6ORF190	0.4119672477245331	0.04193055971266088	0.2718299385709667
BRDT	0.41193023324012756	0.04194203332335628	0.2718299385709667
MPP4	0.4118684232234955	0.04196248628155243	0.271874595992243
EDC3	0.41174763441085815	0.04200339219794473	0.2719670542635659
RBP1	0.41174551844596863	0.04200389105058366	0.2719670542635659
UNC93A	0.41167151927948	0.04202883368253018	0.2720406845334194
TMEM39B	0.41125839948654175	0.042161528484485684	0.2728009035172636
LOC642671	0.4112168252468109	0.04217350094782001	0.2728009035172636
ARL6IP4	0.4111447036266327	0.04219545046393296	0.2728548387096774
FLJ14803	0.4107941687107086	0.04232664870797166	0.2736149629151886
ST7OT2	0.41059479117393494	0.04239948119325551	0.2739316790203029
MINPP1	0.4105880558490753	0.04240297316172802	0.2739316790203029
KIAA1715	0.41026607155799866	0.042525192058265986	0.27450096587250483
ZNF509	0.4102659821510315	0.042525192058265986	0.27450096587250483
DGKD	0.4102415144443512	0.042532175995211016	0.27450096587250483
FLJ21908	0.41010141372680664	0.04258754863813229	0.2747698744769874
PLA2G4E	0.41002315282821655	0.04261199241743989	0.2748199356913183
LOC440981	0.4099917411804199	0.04262546143869101	0.2748199356913183
C13ORF7	0.4099626839160919	0.04263643619674748	0.2748199356913183
PDGFRL	0.4098672568798065	0.04267335129202834	0.2749694631951141
PCBP1	0.40950536727905273	0.0428020552728724	0.27571015424164524
KLHL13	0.40925461053848267	0.04287738202135089	0.2761066495342114
PTPN2	0.4090123474597931	0.04294971565399581	0.27648362235067436
RP5-1103G7.6	0.40891963243484497	0.04298613189663773	0.2765596919127086
LOC90120	0.4089098572731018	0.04298912501247132	0.2765596919127086
ZNF285	0.4088253676891327	0.04301955502344607	0.27666666666666667
PSMC4	0.4086608588695526	0.043074927666367356	0.2768772042321257
METT10D	0.4086492955684662	0.04307991619275666	0.2768772042321257
FAM50A	0.40827277302742004	0.043215604110545744	0.2776602564102564
LDOC1	0.40820175409317017	0.04324054674249227	0.27773149631528354
CNIH	0.4081175625324249	0.04326499052179986	0.2777994875080077
SMPDL3B	0.40779706835746765	0.04336426219694702	0.2782656
RPS19	0.40777233242988586	0.04337074728125312	0.2782656
ZNF704	0.4077404737472534	0.043379227776114936	0.2782656
MCM6	0.40748992562294006	0.04347700289334531	0.2788035828534869
CALCA	0.4073282480239868	0.04353536865210017	0.27907928388746805
WFDC8	0.4072980284690857	0.04354783996807343	0.27907928388746805
C11ORF77	0.407072514295578	0.043628654095580165	0.27950782997762863
SAFB2	0.40700894594192505	0.043651102464332035	0.2795623003194888
ZNF605	0.40693995356559753	0.04368003591739	0.27965825614819545
TMEM146	0.40682530403137207	0.043725930360171604	0.2798627075351213
ALS2CR11	0.4066939651966095	0.043770827097675345	0.2800159489633174
LOC91689	0.4066561758518219	0.043787788087398985	0.2800159489633174
IQSEC1	0.4066402316093445	0.04379177890851042	0.2800159489633174
METTL3	0.4065183997154236	0.043833682530180586	0.28019451530612244
PPID	0.40640902519226074	0.043869101067544644	0.28031538706594455
G6PC	0.4063635468482971	0.04388456549935149	0.28031538706594455
GP5	0.40634071826934814	0.0438945425521301	0.28031538706594455
C9ORF91	0.40617895126342773	0.043949915195051384	0.28057961783439495
OMG	0.4060323238372803	0.04399980045894443	0.2808086596625279
GPR26	0.4054686427116394	0.044202833482989125	0.28201464035646084
BRAP	0.4053357243537903	0.04425072333632645	0.2822303531657652
TEX10	0.4053037762641907	0.044265688915494365	0.28223600508905855
FLJ38596	0.405205637216568	0.04429761548438591	0.2823497615262321
XRCC6	0.40499964356422424	0.04437493764342013	0.2825849476024135
LOC136263	0.40499013662338257	0.044378429611892645	0.2825849476024135
C1ORF82	0.40497395396232605	0.0443859124014766	0.2825849476024135
MGC16211	0.4049575626850128	0.044390900927865906	0.2825849476024135
TMEM126B	0.4049088656902313	0.04440636535967275	0.2825936507936508
LRFN1	0.4047810137271881	0.044452259802454354	0.2827959377975246
RAB17	0.40466949343681335	0.044496158834680236	0.2829549778059607
C10ORF73	0.4046296179294586	0.044508131298014564	0.2829549778059607
KIAA0391	0.4045907258987427	0.044519604908709966	0.2829549778059607
RPS11	0.4044507145881653	0.044571984435797664	0.28317922735908807
SP5	0.4044037163257599	0.044595430509827394	0.28317922735908807
LOC647381	0.4043842852115631	0.04460490870996708	0.28317922735908807
MRPL11	0.4043666124343872	0.044611393794273174	0.28317922735908807
KRT74	0.40431275963783264	0.04463184675246932	0.28321937321937324
UQCRFS1	0.4041290879249573	0.044694203332335626	0.2835253164556962
TOMM40	0.4040248990058899	0.04472513219594931	0.28363176210060104
TTLL5	0.40392404794692993	0.04476005188067445	0.28369585836231426
WDR57	0.40391096472740173	0.044763543849146964	0.28369585836231426
GPC6	0.4037327766418457	0.04483936945026439	0.2840865992414665
MOXD1	0.4036808907985687	0.0448558315873491	0.2841011058451817
RBM15B	0.40332236886024475	0.04499002294722139	0.28486102337334174
LOC344405	0.40320897102355957	0.04503741394791978	0.2850710451531418
EBF1	0.403165340423584	0.04505387608500449	0.2850852272727273
SULT1B1	0.4029995799064636	0.04511822807542652	0.28540233512148944
RPS4X	0.4029386639595032	0.04513818218098374	0.28543848580441644
GJA5	0.4028495252132416	0.04516512022348598	0.2855187637969095
ATAD1	0.4027782082557678	0.045190062855432506	0.2855863808322825
GCN5L2	0.40264856815338135	0.045233463035019454	0.28572913385826776
